time,query,response,response_time,correct
2026-03-15 15:57:00.728536,how many got placed in tcs,6 students placed in Tcs.,0.01393580436706543,1
2026-03-15 15:57:11.931305,how many got placed in accenture,18 students placed in Accenture.,0.007196187973022461,1
2026-03-15 15:57:25.564096,how many got placed in cognizant,25 students placed in Cognizant.,0.01230478286743164,1
2026-03-15 15:57:32.153075,hiring process of tcs,"TCS Hiring Process:
1. NQT Exam
2. Technical Interview
https://www.geeksforgeeks.org/top-100-data-structure-and-algorithms-dsa-interview-questions/

------------------------------

🎥 **Best YouTube Interview Preparation**

1️⃣ Tech Interview Preparation  
https://youtu.be/1mHjMNZZvFo

2️⃣ HR Interview Questions  
https://youtu.be/9FgfsLa_SmY

3️⃣ Google Interview Tips  
https://youtu.be/kayOhGRcNt4

------------------------------

📅 **Daily Interview Preparation Plan**

Day Plan:

• 2 hrs Coding Practice  
• 1 hr Core Subjects (DBMS/OS/OOPS)  
• 30 mins HR Questions  
• 30 mins Mock Interview  

------------------------------

💡 **Pro Tips**

✔ Know your resume completely  
✔ Explain your projects clearly  
✔ Practice speaking confidently  
✔ Research the company before interview  
✔ Always ask a question to interviewer

Good preparation leads to **great placements 🚀**
",0.0007495880126953125
